X,Y,TYPE
31,15, Sexed
9,9, Asexual
45,14, Sexed
5,5, Asexual
55,16, Sexed
28,28, Asexual
59,0, Sexed
29,29, Asexual
60,14, Sexed
52,52, Asexual
56,43, Sexed
24,24, Asexual
27,0, Sexed
6,6, Asexual
35,18, Sexed
56,56, Asexual
52,2, Sexed
11,11, Asexual
55,7, Sexed
29,29, Asexual
61,22, Sexed
72,72, Asexual
20,35, Sexed
66,66, Asexual
45,16, Sexed
47,47, Asexual
66,47, Sexed
30,30, Asexual
62,6, Sexed
0,0, Asexual
40,32, Sexed
37,37, Asexual
46,26, Sexed
34,34, Asexual
29,38, Sexed
55,55, Asexual
39,12, Sexed
34,34, Asexual
